,flow,country1,country2,currency,amount
511,Import,CZE,GRC,USD,17656666.0
512,Import,DNK,GRC,USD,14459623.0
513,Import,FIN,GRC,USD,14859925.0
514,Import,FRA,GRC,USD,66550173.0
515,Import,DEU,GRC,USD,194980392.0
516,Import,HUN,GRC,USD,7544167.0
517,Import,ISL,GRC,USD,274046.0
518,Import,IRL,GRC,USD,3090047.0
519,Import,ITA,GRC,USD,249771879.0
520,Import,JPN,GRC,USD,15340634.0
521,Import,LUX,GRC,USD,269050.0
522,Import,MEX,GRC,USD,13617956.0
523,Import,NLD,GRC,USD,54087952.0
524,Import,NOR,GRC,USD,5382878.0
525,Import,POL,GRC,USD,32872833.0
526,Import,PRT,GRC,USD,13268581.0
527,Import,SWE,GRC,USD,16401687.0
528,Import,CHE,GRC,USD,15101256.0
529,Import,TUR,GRC,USD,350499561.0
530,Import,GBR,GRC,USD,94169029.0
531,Import,USA,GRC,USD,79491667.0
532,Import,CHL,GRC,USD,1305890.0
533,Import,EST,GRC,USD,1617380.0
534,Import,SVN,GRC,USD,16014576.0
563,Import,AUS,HUN,USD,24813886.0
564,Import,AUT,HUN,USD,407159622.0
565,Import,BEL,HUN,USD,131112566.0
566,Import,CAN,HUN,USD,34744246.0
567,Import,CZE,HUN,USD,286543365.0
568,Import,DNK,HUN,USD,66312418.0
569,Import,FIN,HUN,USD,25371155.0
570,Import,FRA,HUN,USD,352160957.0
571,Import,DEU,HUN,USD,2161637067.0
572,Import,GRC,HUN,USD,32054139.0
573,Import,ISL,HUN,USD,1036355.0
574,Import,IRL,HUN,USD,13586345.0
575,Import,ITA,HUN,USD,427392133.0
576,Import,JPN,HUN,USD,71755305.0
577,Import,LUX,HUN,USD,7349648.0
578,Import,MEX,HUN,USD,66304183.0
579,Import,NLD,HUN,USD,200894081.0
580,Import,NOR,HUN,USD,30727829.0
581,Import,POL,HUN,USD,284340833.0
582,Import,PRT,HUN,USD,23388608.0
583,Import,SWE,HUN,USD,81881244.0
584,Import,CHE,HUN,USD,91310566.0
585,Import,TUR,HUN,USD,102300400.0
586,Import,GBR,HUN,USD,336566283.0
587,Import,USA,HUN,USD,313700000.0
588,Import,CHL,HUN,USD,4369139.0
589,Import,EST,HUN,USD,20687632.0
590,Import,SVN,HUN,USD,77070477.0
618,Import,AUS,ISL,USD,955795.0
619,Import,AUT,ISL,USD,2411145.0
620,Import,BEL,ISL,USD,5859867.0
621,Import,CAN,ISL,USD,3599186.0
622,Import,CZE,ISL,USD,6049668.0
623,Import,DNK,ISL,USD,12516691.0
624,Import,FIN,ISL,USD,1489737.0
625,Import,FRA,ISL,USD,18797493.0
626,Import,DEU,ISL,USD,61754210.0
627,Import,GRC,ISL,USD,338025.0
628,Import,HUN,ISL,USD,2045250.0
629,Import,IRL,ISL,USD,1079907.0
630,Import,ITA,ISL,USD,6848413.0
631,Import,JPN,ISL,USD,13508761.0
632,Import,MEX,ISL,USD,781373.0
633,Import,NLD,ISL,USD,119533810.0
634,Import,NOR,ISL,USD,19237319.0
635,Import,POL,ISL,USD,14256333.0
636,Import,PRT,ISL,USD,1847320.0
637,Import,SWE,ISL,USD,2163511.0
638,Import,CHE,ISL,USD,2099796.0
639,Import,TUR,ISL,USD,1663467.0
640,Import,GBR,ISL,USD,50479645.0
641,Import,USA,ISL,USD,24275000.0
642,Import,CHL,ISL,USD,842815.0
643,Import,EST,ISL,USD,397644.0
644,Import,SVN,ISL,USD,116594.0
672,Import,AUS,IRL,USD,122378272.0
673,Import,AUT,IRL,USD,123869021.0
674,Import,BEL,IRL,USD,1346229879.0
675,Import,CAN,IRL,USD,112239104.0
676,Import,CZE,IRL,USD,70046279.0
677,Import,DNK,IRL,USD,99395133.0
678,Import,FIN,IRL,USD,52289596.0
679,Import,FRA,IRL,USD,737910097.0
680,Import,DEU,IRL,USD,1007087102.0
681,Import,GRC,IRL,USD,31080028.0
682,Import,HUN,IRL,USD,43991500.0
683,Import,ISL,IRL,USD,2430714.0
684,Import,IRL,IRL,USD,41427564.0
685,Import,ITA,IRL,USD,337527439.0
686,Import,JPN,IRL,USD,302818626.0
687,Import,LUX,IRL,USD,10145498.0
688,Import,MEX,IRL,USD,87759221.0
689,Import,NLD,IRL,USD,559308649.0
690,Import,NOR,IRL,USD,55348307.0
691,Import,POL,IRL,USD,111515167.0
692,Import,PRT,IRL,USD,60820541.0
693,Import,SWE,IRL,USD,149468458.0
694,Import,CHE,IRL,USD,635917653.0
695,Import,TUR,IRL,USD,69201285.0
696,Import,GBR,IRL,USD,1553475221.0
697,Import,USA,IRL,USD,2631858333.0
698,Import,CHL,IRL,USD,8862670.0
699,Import,EST,IRL,USD,5038561.0
700,Import,SVN,IRL,USD,6167368.0
729,Import,AUS,ITA,USD,465564551.0
730,Import,AUT,ITA,USD,870592330.0
731,Import,BEL,ITA,USD,1167631048.0
732,Import,CAN,ITA,USD,469769653.0
733,Import,CZE,ITA,USD,474686647.0
734,Import,DNK,ITA,USD,278035631.0
735,Import,FIN,ITA,USD,169528291.0
736,Import,FRA,ITA,USD,3971183352.0
737,Import,DEU,ITA,USD,5257686987.0
738,Import,GRC,ITA,USD,417038663.0
739,Import,HUN,ITA,USD,357903667.0
740,Import,ISL,ITA,USD,13768077.0
741,Import,IRL,ITA,USD,92850376.0
742,Import,JPN,ITA,USD,795143888.0
743,Import,LUX,ITA,USD,44038624.0
744,Import,MEX,ITA,USD,468398165.0
745,Import,NLD,ITA,USD,878220647.0
746,Import,NOR,ITA,USD,222127585.0
747,Import,POL,ITA,USD,894117417.0
748,Import,PRT,ITA,USD,323500627.0
749,Import,SWE,ITA,USD,375691479.0
750,Import,CHE,ITA,USD,1690057236.0
751,Import,TUR,ITA,USD,1073750047.0
752,Import,GBR,ITA,USD,1974139994.0
753,Import,USA,ITA,USD,3221525000.0
754,Import,CHL,ITA,USD,106760982.0
755,Import,EST,ITA,USD,42491616.0
756,Import,SVN,ITA,USD,358304390.0
785,Import,AUS,JPN,USD,1520731381.0
786,Import,AUT,JPN,USD,188766182.0
787,Import,BEL,JPN,USD,773498637.0
788,Import,CAN,JPN,USD,1109157879.0
789,Import,CZE,JPN,USD,220843905.0
790,Import,DNK,JPN,USD,30757749.0
791,Import,FIN,JPN,USD,73375977.0
792,Import,FRA,JPN,USD,887770088.0
793,Import,DEU,JPN,USD,2157285986.0
794,Import,GRC,JPN,USD,13217025.0
795,Import,HUN,JPN,USD,103503500.0
796,Import,ISL,JPN,USD,5797128.0
797,Import,IRL,JPN,USD,114249027.0
798,Import,ITA,JPN,USD,284044596.0
799,Import,LUX,JPN,USD,16217075.0
800,Import,MEX,JPN,USD,1423009618.0
801,Import,NLD,JPN,USD,942581859.0
802,Import,NOR,JPN,USD,161769912.0
803,Import,POL,JPN,USD,238034167.0
804,Import,PRT,JPN,USD,26381001.0
805,Import,SWE,JPN,USD,113723896.0
806,Import,CHE,JPN,USD,305926899.0
807,Import,TUR,JPN,USD,287766171.0
808,Import,GBR,JPN,USD,940127659.0
809,Import,USA,JPN,USD,11544466667.0
810,Import,CHL,JPN,USD,207905622.0
811,Import,EST,JPN,USD,33158023.0
812,Import,SVN,JPN,USD,23080399.0
899,Import,AUS,LUX,USD,3545643.0
900,Import,AUT,LUX,USD,25815417.0
901,Import,BEL,LUX,USD,257414882.0
902,Import,CAN,LUX,USD,12947447.0
903,Import,CZE,LUX,USD,27031833.0
904,Import,DNK,LUX,USD,14206223.0
905,Import,FIN,LUX,USD,5608959.0
906,Import,FRA,LUX,USD,146160810.0
907,Import,DEU,LUX,USD,333895412.0
908,Import,GRC,LUX,USD,9891155.0
909,Import,HUN,LUX,USD,6868500.0
910,Import,ISL,LUX,USD,201944.0
911,Import,IRL,LUX,USD,4496549.0
912,Import,ITA,LUX,USD,121786462.0
913,Import,JPN,LUX,USD,5609828.0
914,Import,MEX,LUX,USD,9318656.0
915,Import,NLD,LUX,USD,80684241.0
916,Import,NOR,LUX,USD,7974136.0
917,Import,POL,LUX,USD,33609333.0
918,Import,PRT,LUX,USD,8950380.0
919,Import,SWE,LUX,USD,29268486.0
920,Import,CHE,LUX,USD,18346183.0
921,Import,TUR,LUX,USD,11434222.0
922,Import,GBR,LUX,USD,46285590.0
923,Import,USA,LUX,USD,53750000.0
924,Import,CHL,LUX,USD,1458663.0
925,Import,EST,LUX,USD,827229.0
926,Import,SVN,LUX,USD,5596752.0
953,Import,AUS,MEX,USD,168957284.0
954,Import,AUT,MEX,USD,27517387.0
955,Import,BEL,MEX,USD,160006060.0
956,Import,CAN,MEX,USD,2158204232.0
957,Import,CZE,MEX,USD,40138814.0
958,Import,DNK,MEX,USD,11701769.0
959,Import,FIN,MEX,USD,14735747.0
960,Import,FRA,MEX,USD,159641492.0
961,Import,DEU,MEX,USD,430518383.0
962,Import,GRC,MEX,USD,3891124.0
963,Import,HUN,MEX,USD,62897417.0
964,Import,ISL,MEX,USD,672950.0
965,Import,IRL,MEX,USD,34700226.0
966,Import,ITA,MEX,USD,100809306.0
967,Import,JPN,MEX,USD,351561898.0
968,Import,LUX,MEX,USD,442338.0
969,Import,NLD,MEX,USD,144741817.0
970,Import,NOR,MEX,USD,15863364.0
971,Import,POL,MEX,USD,29963083.0
972,Import,PRT,MEX,USD,6607851.0
973,Import,SWE,MEX,USD,5227861.0
974,Import,CHE,MEX,USD,116358476.0
975,Import,TUR,MEX,USD,83399557.0
976,Import,GBR,MEX,USD,97383074.0
977,Import,USA,MEX,USD,23371300000.0
978,Import,CHL,MEX,USD,211930895.0
979,Import,EST,MEX,USD,1729459.0
980,Import,SVN,MEX,USD,3324722.0
1008,Import,AUS,NLD,USD,139912460.0
1009,Import,AUT,NLD,USD,374975577.0
1010,Import,BEL,NLD,USD,7640833284.0
1011,Import,CAN,NLD,USD,273417095.0
1012,Import,CZE,NLD,USD,391330861.0
1013,Import,DNK,NLD,USD,613516657.0
1014,Import,FIN,NLD,USD,370861286.0
1015,Import,FRA,NLD,USD,2406871721.0
1016,Import,DEU,NLD,USD,9876342598.0
1017,Import,GRC,NLD,USD,240590328.0
1018,Import,HUN,NLD,USD,323161667.0
1019,Import,ISL,NLD,USD,20822488.0
1020,Import,IRL,NLD,USD,288536090.0
1021,Import,ITA,NLD,USD,2286066048.0
1022,Import,JPN,NLD,USD,376202749.0
1023,Import,LUX,NLD,USD,102170723.0
1024,Import,MEX,NLD,USD,350181382.0
1025,Import,NLD,NLD,USD,1115373.0
1026,Import,NOR,NLD,USD,290290394.0
1027,Import,POL,NLD,USD,663945750.0
1028,Import,PRT,NLD,USD,309670491.0
1029,Import,SWE,NLD,USD,999837618.0
1030,Import,CHE,NLD,USD,545161046.0
1031,Import,TUR,NLD,USD,280357557.0
1032,Import,GBR,NLD,USD,4427945553.0
1033,Import,USA,NLD,USD,1601708333.0
1034,Import,CHL,NLD,USD,53194062.0
1035,Import,EST,NLD,USD,39904032.0
1036,Import,SVN,NLD,USD,44302992.0
1123,Import,AUS,NOR,USD,33560732.0
1124,Import,AUT,NOR,USD,33029768.0
1125,Import,BEL,NOR,USD,690607447.0
1126,Import,CAN,NOR,USD,304420330.0
1127,Import,CZE,NOR,USD,119900743.0
1128,Import,DNK,NOR,USD,475001141.0
1129,Import,FIN,NOR,USD,131493196.0
1130,Import,FRA,NOR,USD,587661083.0
1131,Import,DEU,NOR,USD,2424051009.0
1132,Import,GRC,NOR,USD,15878559.0
1133,Import,HUN,NOR,USD,1932250.0
1134,Import,ISL,NOR,USD,61717199.0
1135,Import,IRL,NOR,USD,121421148.0
1136,Import,ITA,NOR,USD,171493563.0
1137,Import,JPN,NOR,USD,163919766.0
1138,Import,LUX,NOR,USD,249119.0
1139,Import,MEX,NOR,USD,16428863.0
1140,Import,NLD,NOR,USD,1484646073.0
1141,Import,POL,NOR,USD,324800250.0
1142,Import,PRT,NOR,USD,12921239.0
1143,Import,SWE,NOR,USD,1182556946.0
1144,Import,CHE,NOR,USD,24473385.0
1145,Import,TUR,NOR,USD,82027479.0
1146,Import,GBR,NOR,USD,2182744033.0
1147,Import,USA,NOR,USD,457408333.0
1148,Import,CHL,NOR,USD,6674236.0
1149,Import,EST,NOR,USD,14803586.0
1150,Import,SVN,NOR,USD,4873887.0
1179,Import,AUS,POL,USD,45690238.0
1180,Import,AUT,POL,USD,286349832.0
1181,Import,BEL,POL,USD,370591971.0
1182,Import,CAN,POL,USD,101689216.0
1183,Import,CZE,POL,USD,890646484.0
1184,Import,DNK,POL,USD,274856164.0
1185,Import,FIN,POL,USD,146160806.0
1186,Import,FRA,POL,USD,880974633.0
1187,Import,DEU,POL,USD,3961913176.0
1188,Import,GRC,POL,USD,47924429.0
1189,Import,HUN,POL,USD,403411917.0
1190,Import,ISL,POL,USD,6656819.0
1191,Import,IRL,POL,USD,41245848.0
1192,Import,ITA,POL,USD,731045276.0
1193,Import,JPN,POL,USD,85158065.0
1194,Import,LUX,POL,USD,17622482.0
1195,Import,MEX,POL,USD,63455551.0
1196,Import,NLD,POL,USD,612474584.0
1197,Import,NOR,POL,USD,239591592.0
1198,Import,PRT,POL,USD,48133777.0
1199,Import,SWE,POL,USD,412575795.0
1200,Import,CHE,POL,USD,153181435.0
1201,Import,TUR,POL,USD,265358478.0
1202,Import,GBR,POL,USD,1007495270.0
1203,Import,USA,POL,USD,408766667.0
1204,Import,CHL,POL,USD,7884638.0
1205,Import,EST,POL,USD,108018513.0
1206,Import,SVN,POL,USD,57204026.0
1235,Import,AUS,PRT,USD,11148442.0
1236,Import,AUT,PRT,USD,50899602.0
1237,Import,BEL,PRT,USD,158626850.0
1238,Import,CAN,PRT,USD,30333196.0
1239,Import,CZE,PRT,USD,37979112.0
1240,Import,DNK,PRT,USD,34497006.0
1241,Import,FIN,PRT,USD,28620108.0
1242,Import,FRA,PRT,USD,558706340.0
1243,Import,DEU,PRT,USD,566106590.0
1244,Import,GRC,PRT,USD,14259504.0
1245,Import,HUN,PRT,USD,20967500.0
1246,Import,ISL,PRT,USD,1134011.0
1247,Import,IRL,PRT,USD,15044411.0
1248,Import,ITA,PRT,USD,172561749.0
1249,Import,JPN,PRT,USD,30629840.0
1250,Import,LUX,PRT,USD,5022558.0
1251,Import,MEX,PRT,USD,35015215.0
1252,Import,NLD,PRT,USD,198249833.0
1253,Import,NOR,PRT,USD,25505545.0
1254,Import,POL,PRT,USD,48599917.0
1255,Import,SWE,PRT,USD,47520324.0
1256,Import,CHE,PRT,USD,89559324.0
1257,Import,TUR,PRT,USD,56668057.0
1258,Import,GBR,PRT,USD,248986609.0
1259,Import,USA,PRT,USD,235933333.0
1260,Import,CHL,PRT,USD,9478899.0
1261,Import,EST,PRT,USD,1881649.0
1262,Import,SVN,PRT,USD,11341885.0
1407,Import,AUS,SWE,USD,172217999.0
1408,Import,AUT,SWE,USD,139066274.0
1409,Import,BEL,SWE,USD,741189680.0
1410,Import,CAN,SWE,USD,155618686.0
1411,Import,CZE,SWE,USD,111504853.0
1412,Import,DNK,SWE,USD,1047896516.0
1413,Import,FIN,SWE,USD,737186800.0
1414,Import,FRA,SWE,USD,644439515.0
1415,Import,DEU,SWE,USD,1546924562.0
1416,Import,GRC,SWE,USD,29367416.0
1417,Import,HUN,SWE,USD,80654083.0
1418,Import,ISL,SWE,USD,16864481.0
1419,Import,IRL,SWE,USD,41336304.0
1420,Import,ITA,SWE,USD,345001830.0
1421,Import,JPN,SWE,USD,193798829.0
1422,Import,LUX,SWE,USD,8420907.0
1423,Import,MEX,SWE,USD,101597725.0
1424,Import,NLD,SWE,USD,745229277.0
1425,Import,NOR,SWE,USD,997791176.0
1426,Import,POL,SWE,USD,323713167.0
1427,Import,PRT,SWE,USD,62258457.0
1428,Import,CHE,SWE,USD,122191679.0
1429,Import,TUR,SWE,USD,170527028.0
1430,Import,GBR,SWE,USD,961926783.0
1431,Import,USA,SWE,USD,763175000.0
1432,Import,CHL,SWE,USD,38855952.0
1433,Import,EST,SWE,USD,129994609.0
1434,Import,SVN,SWE,USD,15701208.0
1463,Import,AUS,CHE,USD,239233202.0
1464,Import,AUT,CHE,USD,754236286.0
1465,Import,BEL,CHE,USD,429267286.0
1466,Import,CAN,CHE,USD,320580294.0
1467,Import,CZE,CHE,USD,124898136.0
1468,Import,DNK,CHE,USD,69314524.0
1469,Import,FIN,CHE,USD,75503199.0
1470,Import,FRA,CHE,USD,1390650652.0
1471,Import,DEU,CHE,USD,4226037486.0
